#,Name,Team,ESPN,Y!,$,G,PA,AB,R,HR,RBI,SB,CS,H,1B,2B,3B,TB,SO,BB,HBP,AVG,OBP,SLG,OPS,Own%,RazzID
1,Shohei Ohtani,LAD,DH,DH,46.3,117,518,429,92,32,74,16,5,117,61,20,4,240,123,78,4,0.272,0.383,0.558,0.942,100,6602710
2,Aaron Judge,NYY,OF,OF,44.9,116,493,392,82,32,80,9,3,109,58,18,1,225,125,91,5,0.278,0.416,0.574,0.989,100,15640
3,Bobby Witt Jr.,KC,SS,SS,44.1,118,513,459,76,20,67,26,8,134,81,29,4,230,86,43,5,0.291,0.354,0.500,0.853,100,677951
4,Juan Soto,NYM,OF,OF,40.7,118,513,402,85,26,68,15,5,110,64,19,1,209,89,102,3,0.273,0.419,0.520,0.939,100,665742
5,Jose Ramirez,CLE,3B,3B,38.7,116,482,423,66,21,70,27,7,115,68,24,2,205,58,52,4,0.272,0.353,0.485,0.838,100,13510
6,Elly De La Cruz,CIN,SS,SS,38.4,118,490,431,66,20,70,30,9,114,67,23,4,206,125,52,3,0.264,0.344,0.478,0.822,100,682829
7,Junior Caminero,TB,3B,3B,37.2,118,505,457,75,31,79,5,2,122,70,21,1,237,97,40,3,0.268,0.328,0.518,0.845,100,691406
8,Gunnar Henderson,BAL,SS,SS,33.6,118,519,452,78,22,63,18,5,118,70,23,4,214,115,56,5,0.261,0.345,0.472,0.817,100,683002
9,Vladimir Guerrero Jr.,TOR,1B,1B,33.2,117,496,425,72,22,74,4,1,126,80,24,0,217,66,62,5,0.297,0.389,0.510,0.899,100,665489
10,Julio Rodriguez,SEA,OF,OF,31.5,116,496,446,66,21,68,16,5,120,76,22,2,208,108,39,7,0.269,0.333,0.467,0.800,100,677594
11,Fernando Tatis Jr.,SD,OF,OF,31.4,111,479,414,70,20,60,20,5,113,70,21,2,196,95,55,5,0.272,0.359,0.473,0.832,100,665487
12,James Wood,WSH,OF,OF,31.0,117,518,436,81,23,61,15,5,111,63,24,1,205,151,72,4,0.254,0.360,0.471,0.831,100,695578
13,Corbin Carroll,ARI,OF,OF,30.2,115,490,422,67,19,66,23,6,107,60,20,7,198,107,57,6,0.253,0.347,0.470,0.817,100,682998
14,Nick Kurtz,ATH,1B,1B,30.0,114,488,407,75,28,70,5,2,103,55,20,1,209,145,73,3,0.254,0.368,0.512,0.880,100,701762
15,Oneil Cruz,PIT,OF,OF,27.5,110,481,419,69,20,54,28,6,99,58,19,2,183,147,52,4,0.237,0.323,0.435,0.759,100,665833
16,Yordan Alvarez,HOU,DH,OF,27.1,100,423,355,71,24,63,3,1,108,62,22,1,202,66,58,6,0.305,0.407,0.569,0.976,100,670541
17,Bryce Harper,PHI,1B,1B,24.3,111,466,396,66,20,66,7,2,108,62,25,1,194,96,62,4,0.272,0.373,0.491,0.863,100,11579
18,Ketel Marte,ARI,2B,2B,24.2,114,496,430,76,20,60,4,1,118,73,24,1,204,84,55,5,0.274,0.359,0.474,0.833,100,13613
19,Trea Turner,PHI,SS,SS,23.6,112,495,450,68,13,51,19,3,124,85,23,3,191,90,35,4,0.274,0.329,0.426,0.755,100,16252
20,Kyle Tucker,LAD,OF,OF,23.6,110,451,381,61,20,63,13,3,100,60,19,1,181,71,63,3,0.263,0.368,0.474,0.842,100,663656
21,Kyle Schwarber,PHI,DH,OF,23.4,116,503,410,78,30,69,4,1,93,47,15,1,201,142,81,6,0.226,0.357,0.490,0.847,100,16478
22,Jackson Chourio,MIL,OF,OF,23.4,108,463,423,65,18,56,16,5,113,69,24,2,194,93,32,3,0.265,0.318,0.457,0.776,100,694192
23,CJ Abrams,WSH,SS,SS,23.2,114,470,420,57,16,63,21,6,108,68,22,3,182,88,35,10,0.256,0.324,0.434,0.758,100,682928
24,Maikel Garcia,KC,3B,2B/SS/ 3B/OF,23.1,116,511,457,70,11,49,21,6,125,86,26,3,189,76,46,2,0.275,0.340,0.415,0.755,100,672580
25,Zach Neto,LAA,SS,SS,22.5,111,482,426,68,19,53,22,7,102,60,23,1,183,123,39,11,0.239,0.316,0.430,0.746,100,687263
26,Pete Alonso,BAL,1B,1B,22.2,117,487,423,64,25,74,2,1,105,59,21,1,200,114,50,9,0.247,0.336,0.473,0.810,100,624413
27,Shea Langeliers,ATH,C,C,21.9,107,444,401,64,24,62,3,1,102,57,21,1,196,100,36,3,0.255,0.317,0.488,0.805,100,669127
28,Freddie Freeman,LAD,1B,1B,21.6,113,484,420,69,17,60,5,1,119,76,25,2,197,84,52,6,0.283,0.367,0.469,0.837,100,5361
29,Matt Olson,ATL,1B,1B,21.4,116,479,410,64,23,72,1,0,106,60,23,1,199,114,61,4,0.259,0.357,0.486,0.843,100,14344
30,Cal Raleigh,SEA,C,C,21.3,112,469,399,68,26,63,6,2,89,46,16,0,185,126,60,4,0.222,0.327,0.463,0.790,100,663728
31,Manny Machado,SD,3B,3B,21.0,118,489,438,60,20,70,7,2,114,73,21,0,194,97,44,3,0.260,0.329,0.444,0.772,100,11493
32,Brent Rooker,ATH,OF,OF,21.0,117,484,426,63,23,69,5,2,106,62,20,2,198,128,49,5,0.250,0.331,0.464,0.795,100,667670
33,Michael Harris II,ATL,OF,OF,20.7,111,419,392,53,17,60,12,3,110,70,19,3,186,78,20,3,0.281,0.317,0.476,0.792,100,671739
34,Ronald Acuna Jr.,ATL,OF,OF,20.5,92,409,343,65,16,46,17,5,94,61,17,2,160,83,58,4,0.275,0.382,0.468,0.850,100,660670
35,Brice Turang,MIL,2B,2B/SS,20.2,116,502,438,65,11,50,22,5,115,80,22,2,174,103,56,3,0.262,0.344,0.397,0.742,100,668930
36,Sal Stewart,CIN,1B,1B/3B,20.0,110,436,389,55,18,65,10,3,104,64,22,1,181,81,41,3,0.269,0.341,0.466,0.807,100,701398
37,Pete Crow-Armstrong,CHC,OF,OF,19.5,118,435,398,54,16,56,23,7,99,59,21,3,173,105,26,6,0.247,0.300,0.433,0.733,100,691718
38,George Springer,TOR,OF,OF,18.5,110,478,416,69,18,54,10,2,105,67,19,1,181,92,51,5,0.254,0.338,0.435,0.773,100,12856
39,Jazz Chisholm Jr.,NYY,2B/3B,2B/3B,18.3,112,436,383,52,19,56,23,7,90,56,15,1,162,113,44,4,0.234,0.317,0.423,0.739,100,665862
40,Byron Buxton,MIN,OF,OF,18.0,100,432,387,64,22,55,11,2,94,51,18,4,184,116,35,6,0.242,0.311,0.475,0.786,100,14161
41,Josh Naylor,SEA,1B,1B,17.6,112,451,404,55,17,62,12,4,105,68,19,1,175,72,40,4,0.259,0.328,0.432,0.760,100,647304
42,Vinnie Pasquantino,KC,1B,1B,17.6,116,490,435,63,20,68,1,0,111,67,22,2,198,78,46,4,0.256,0.331,0.455,0.786,100,686469
43,Nico Hoerner,CHC,2B,2B/SS,17.3,113,482,435,64,7,43,20,5,123,92,23,2,171,46,35,7,0.284,0.343,0.392,0.736,100,663538
44,Munetaka Murakami,CHW,1B/3B,1B/3B,17.3,114,432,366,59,26,64,6,2,84,46,11,1,174,131,58,4,0.229,0.336,0.474,0.810,100,808959
45,Jackson Merrill,SD,OF,OF,17.2,114,484,442,60,16,63,8,3,114,71,23,4,194,98,35,3,0.258,0.315,0.438,0.753,100,701538
46,Cody Bellinger,NYY,OF,OF,16.8,112,445,398,55,17,63,8,2,104,66,18,3,179,68,41,3,0.261,0.332,0.450,0.781,100,15998
47,Ben Rice,NYY,C/1B,C/1B,16.8,101,410,353,61,22,57,4,1,88,48,17,1,172,90,48,5,0.248,0.343,0.487,0.830,100,700250
48,Yandy Diaz,TB,1B,1B,16.4,114,469,411,61,15,61,2,1,117,80,21,1,184,71,49,5,0.284,0.364,0.447,0.811,100,650490
49,Jo Adell,LAA,OF,OF,16.0,114,453,412,56,23,65,6,2,98,57,17,1,186,117,30,7,0.237,0.298,0.452,0.750,100,666176
50,Andy Pages,LAD,OF,OF,16.0,114,434,396,54,18,60,9,3,103,63,21,1,180,92,28,6,0.261,0.314,0.454,0.768,100,681624
51,Geraldo Perdomo,ARI,SS,SS,15.9,114,476,403,65,10,46,18,5,108,75,20,4,163,62,63,5,0.268,0.369,0.405,0.774,100,672695
52,Bo Bichette,NYM,SS/3B,SS/3B,15.5,110,483,441,66,13,51,4,1,124,86,24,1,190,80,33,3,0.282,0.333,0.431,0.763,100,666182
53,Riley Greene,DET,OF,OF,15.5,115,469,414,58,18,65,3,1,107,66,22,1,187,127,48,3,0.259,0.337,0.451,0.788,100,682985
54,Brandon Nimmo,TEX,OF,OF,15.3,113,483,421,69,16,51,7,2,109,71,20,2,180,104,50,7,0.258,0.342,0.428,0.770,100,12927
55,William Contreras,MIL,C,C,15.3,109,457,394,61,14,55,4,1,107,70,22,1,173,80,57,3,0.272,0.365,0.439,0.803,100,661388
56,Wyatt Langford,TEX,OF,OF,15.2,103,443,382,60,15,51,15,4,96,59,19,3,166,99,53,4,0.251,0.344,0.435,0.778,100,694671
57,Corey Seager,TEX,SS,SS,14.8,101,418,362,58,19,59,2,1,96,58,19,0,173,81,49,4,0.266,0.356,0.479,0.836,100,13624
58,Jacob Wilson,ATH,SS,SS,14.8,113,476,440,61,10,53,4,1,131,94,27,1,189,42,27,5,0.298,0.341,0.430,0.771,100,805779
59,Drake Baldwin,ATL,C,C,14.7,106,436,385,61,17,53,1,0,104,69,17,1,174,77,42,4,0.270,0.344,0.452,0.796,100,686948
60,Alec Burleson,STL,1B/OF,1B/OF,14.6,108,431,388,54,16,59,4,1,106,71,19,1,174,61,36,3,0.274,0.338,0.448,0.786,100,676475
61,Kevin McGonigle,DET,SS/3B,SS/3B,14.0,114,485,420,68,11,49,9,3,113,74,26,3,178,67,55,4,0.270,0.356,0.425,0.781,100,805808
62,Tyler Soderstrom,ATH,1B/OF,1B/OF,13.7,112,433,384,55,19,60,4,2,98,57,21,1,176,96,41,4,0.254,0.329,0.459,0.788,100,691016
63,Steven Kwan,CLE,OF,OF,13.5,115,508,447,69,8,44,13,3,121,90,22,1,170,50,52,4,0.271,0.347,0.381,0.728,98,680757
64,Hunter Goodman,COL,C,C,13.5,100,394,361,51,20,61,3,1,90,49,19,2,173,110,26,4,0.249,0.303,0.478,0.782,100,696100
65,Mookie Betts,LAD,SS,SS,13.4,101,419,364,56,15,57,5,2,99,62,20,2,168,49,48,3,0.272,0.357,0.463,0.820,100,13611
66,Jose Altuve,HOU,2B/OF,2B/OF,13.4,111,451,401,54,14,56,9,3,106,71,20,1,169,77,42,4,0.263,0.334,0.422,0.756,100,5417
67,Jarren Duran,BOS,OF,OF,13.3,113,467,418,62,12,47,17,4,105,63,25,5,175,110,39,6,0.251,0.319,0.420,0.739,100,680776
68,Otto Lopez,MIA,2B/SS,2B/SS,12.8,112,460,419,55,9,52,13,4,115,82,22,2,169,73,33,4,0.274,0.330,0.402,0.732,100,672640
69,Mike Trout,LAA,OF,OF,12.5,100,429,352,63,21,53,5,1,84,48,14,1,162,124,66,6,0.237,0.362,0.459,0.821,100,10155
