#,Name,Team,ESPN,Y!,$,G,GS,QS,TBF,IP,W,L,SV,HLD,H,ER,K,BB,HBP,HR,ERA,SIERA,WHIP,GB%,LD%,FB%,BABIP,Own%,RazzID
1,Tarik Skubal,DET,SP,SP,41.7,24,24,15,547,137.4,9,5,0,0,105,43,165,31,5,13,2.79,2.64,0.99,43,19,38,0.277,100,669373
2,Paul Skenes,PIT,SP,SP,37.7,24,24,15,545,135.0,9,6,0,0,101,43,162,37,5,12,2.84,2.59,1.02,43,19,38,0.277,100,694973
3,Mason Miller,SD,RP,RP,27.1,52,0,0,205,51.6,3,2,24,0,29,13,86,20,2,4,2.23,1.89,0.95,38,19,44,0.260,100,695243
4,Jacob deGrom,TEX,SP,SP,26.9,22,22,12,497,122.1,8,6,0,0,96,45,146,30,4,16,3.35,2.96,1.03,36,19,45,0.263,100,10954
5,Cristopher Sanchez,PHI,SP,SP,26.0,24,24,15,568,138.5,10,6,0,0,126,47,137,38,5,12,3.08,3.18,1.18,54,20,26,0.303,100,650911
6,Chris Sale,ATL,SP,SP,25.2,22,22,12,475,116.6,8,5,0,0,93,41,143,33,6,12,3.18,3.03,1.08,41,19,40,0.287,100,10603
7,Jesus Luzardo,PHI,SP,SP,24.7,24,24,14,563,136.1,9,6,0,0,118,51,151,44,4,16,3.39,3.51,1.18,41,19,40,0.291,100,666200
8,Cade Smith,CLE,RP,RP,24.0,51,0,0,208,50.8,3,2,24,0,39,17,64,17,2,5,3.04,3.02,1.11,39,20,42,0.282,100,671922
9,Andres Munoz,SEA,RP,RP,23.7,51,0,0,214,50.8,3,2,24,0,38,18,67,22,2,4,3.12,2.97,1.19,46,19,34,0.281,100,662253
10,Devin Williams,NYM,RP,RP,23.3,51,0,0,214,51.2,3,2,24,0,39,18,66,24,2,4,3.19,3.26,1.24,43,20,37,0.294,100,642207
11,David Bednar,NYY,RP,RP,22.2,47,0,0,177,42.7,2,2,24,0,34,15,51,16,2,5,3.25,3.24,1.16,39,19,41,0.278,100,670280
12,Jhoan Duran,PHI,RP,RP,22.1,41,0,0,152,37.3,2,2,24,0,29,11,45,13,2,3,2.73,2.76,1.12,54,19,27,0.293,100,661395
13,Logan Gilbert,SEA,SP,SP,21.8,23,23,12,521,126.0,9,6,0,0,109,51,138,31,5,16,3.67,3.32,1.11,39,19,41,0.275,100,669302
14,Yoshinobu Yamamoto,LAD,SP,SP,21.4,23,23,13,525,126.5,9,5,0,0,109,48,131,40,4,13,3.41,3.20,1.18,48,20,32,0.282,100,808967
15,Garrett Crochet,BOS,SP,SP,21.0,19,19,12,434,108.1,7,5,0,0,85,35,131,31,4,11,2.95,3.00,1.07,43,19,38,0.291,100,676979
16,Zack Wheeler,PHI,SP,SP,20.7,21,21,12,461,112.8,8,5,0,0,91,40,127,31,5,12,3.18,3.09,1.08,41,19,39,0.275,100,10310
17,Logan Webb,SF,SP,SP,20.7,24,24,15,611,145.8,10,7,0,0,142,55,134,38,5,11,3.38,3.30,1.24,54,20,26,0.314,100,657277
18,Joe Ryan,MIN,SP,SP,20.1,23,23,12,528,128.2,8,6,0,0,108,53,140,34,6,17,3.74,3.52,1.10,33,20,47,0.272,100,657746
19,Bryan Woo,SEA,SP,SP,20.1,24,24,13,573,137.4,9,6,0,0,124,61,134,32,6,19,3.97,3.64,1.14,38,20,42,0.269,100,693433
20,Max Fried,NYY,SP,SP,19.6,23,23,13,549,131.1,9,5,0,0,118,49,124,40,5,13,3.34,3.37,1.21,50,20,30,0.285,100,608331
21,Cole Ragans,KC,SP,SP,19.4,22,22,12,487,117.7,7,5,0,0,90,42,145,49,4,13,3.22,3.39,1.18,38,19,43,0.281,100,666142
22,Dylan Cease,TOR,SP,SP,19.3,23,23,12,512,121.9,8,5,0,0,99,47,150,49,4,13,3.44,3.38,1.21,39,19,42,0.284,100,656302
23,George Kirby,SEA,SP,SP,19.1,24,24,13,563,135.0,9,6,0,0,129,56,130,29,6,16,3.76,3.52,1.17,43,20,37,0.288,100,669923
24,Aroldis Chapman,BOS,RP,RP,18.6,51,0,0,190,46.1,3,2,20,1,31,15,64,22,2,4,2.85,3.00,1.15,39,19,42,0.273,100,10233
25,Framber Valdez,DET,SP,SP,18.3,24,24,14,608,144.6,10,7,0,0,131,57,131,51,6,12,3.54,3.38,1.26,55,20,25,0.295,100,664285
26,Freddy Peralta,NYM,SP,SP,18.0,24,24,13,568,133.7,9,6,0,0,111,58,147,53,6,17,3.88,3.69,1.23,38,20,43,0.271,100,642547
27,Shota Imanaga,CHC,SP,SP,17.8,24,24,13,566,136.1,9,6,0,0,123,61,128,32,4,21,4.00,3.84,1.14,33,20,47,0.267,100,684007
28,Daniel Palencia,CHC,RP,RP,17.0,51,0,0,217,51.2,3,2,20,9,42,21,58,23,2,5,3.67,3.64,1.26,39,19,42,0.279,100,694037
29,Tyler Glasnow,LAD,SP,SP,16.8,19,19,11,437,105.6,8,4,0,0,81,40,127,40,3,12,3.40,3.03,1.15,44,19,37,0.269,100,14374
30,Kevin Gausman,TOR,SP,SP,15.7,24,24,13,576,136.1,9,7,0,0,123,60,136,42,3,18,3.95,3.64,1.21,38,20,43,0.276,100,14107
31,Spencer Strider,ATL,SP,SP,15.0,22,22,11,500,118.8,8,5,0,0,98,51,140,47,5,15,3.82,3.69,1.22,35,19,46,0.280,100,675911
32,Nathan Eovaldi,TEX,SP,SP,14.0,22,22,12,507,122.1,8,6,0,0,111,49,120,33,5,14,3.60,3.44,1.18,46,20,34,0.285,100,9132
33,Nolan McLean,NYM,SP,SP,13.9,23,23,13,537,126.5,9,6,0,0,112,50,131,50,7,12,3.57,3.56,1.28,50,21,29,0.295,100,690997
34,Shohei Ohtani,LAD,SP,SP,13.6,19,19,10,401,97.9,7,4,0,0,78,35,114,32,4,11,3.24,3.14,1.12,42,19,39,0.278,100,660271
